pl_name,hostname,sy_dist,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_rvamp,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccen_reflink,st_mass,st_lum,discoverymethod,st_lum_solar
Ross 508 b,Ross 508,11.2103,10.77,0.05366,4.0,1.83,3.92,0.33,0.13,-0.15,0,<a refstr=HARAKAWA_ET_AL_2022 href=https://ui.adsabs.harvard.edu/abs/2022PASJ...74..904H/abstract target=ref>Harakawa et al. 2022</a>,0.1774,-2.44503,Radial Velocity,0.00358897142052433
HD 164604 c,HD 164604,39.3633,5387.0,5.556,3019.3698665,12.5,19.9,0.196,0.078,-0.078,0,<a refstr=XIAO_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026arXiv260210919X/abstract target=ref>Xiao et al. 2026</a>,0.77,-0.58503,Radial Velocity,0.25999799567092435
Kepler-50 b,Kepler-50,250.11,7.81254,0.077,8.9,1.71,0.02916,0.0,,,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,1.24,0.53582,Transit,3.4341558455055337
HD 205158 b,HD 205158,86.6159,25.33798,0.177,124.58873554,13.9,24.793,0.145,0.075,-0.058,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.16,0.65266,Radial Velocity,4.4942786951997
Kepler-162 b,Kepler-162,855.641,6.919798,0.069,2.13,1.26,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.053,0.1554,Transit,1.4302106247365645
Kepler-176 b,Kepler-176,527.321,5.433074,0.058,290.537,1.43,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.86,-0.40427,Transit,0.39421214498404133
K2-189 c,K2-189,242.113,6.67932,0.068,5.95,2.31,,,,,0,,0.85,-0.21855,Transit,0.6045747430983106
K2-126 b,K2-126,102.953,7.385655,0.0656,4.54,1.97,,0.06,0.142277,-0.049906,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,0.69,-0.87762,Transit,0.13255008177458294
KMT-2018-BLG-0247L b,KMT-2018-BLG-0247L,6760.0,,2.46,670.61793877,13.4,,,,,0,,0.29,,Microlensing,
KMT-2021-BLG-1372L b,KMT-2021-BLG-1372L,5970.0,,2.37,61.27,9.12,,,,,0,,0.42,,Microlensing,
Kepler-193 c,Kepler-193,1009.1,50.697494,0.286,8.0,2.75,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.051,0.09956,Transit,1.2576505932164164
Kepler-464 b,Kepler-464,667.604,7.256965224,0.07931,10.9,3.3,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.21,0.48379,Transit,3.0464215580010636
