pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,st_mass,pl_orbeccen,expected_eccentricity,eccentricity_for_analysis
Kepler-988 b,Kepler-988,Transit,17.76080053,0.11,,0.561,0.0,0.08312087422549697,0.08312087422549697
K2-107 b,K2-107,Transit,3.31392,0.048,266.9772,1.3,0.0,0.06715081109429592,0.06715081109429592
Kepler-1347 b,Kepler-1347,Transit,14.00947528,0.104,,0.763,0.0,0.08181692524125553,0.08181692524125553
Kepler-919 b,Kepler-919,Transit,11.04603384,0.0981,,1.025,0.0,0.08046271657551554,0.08046271657551554
Kepler-1165 c,Kepler-1165,Transit,29.9686052,0.1949,,1.092,0.0,0.09264266365759562,0.09264266365759562
Kepler-170 c,Kepler-170,Transit,16.665863,0.131,,,,0.08505684175191577,0.08505684175191577
Kepler-1944 b,Kepler-1944,Transit,9.84262076,0.0918,,1.064,0.0,0.07935801703089544,0.07935801703089544
Kepler-153 c,Kepler-153,Transit,46.9025112,0.232,,0.756,,0.09653956348196895,0.09653956348196895
Kepler-48 c,Kepler-48,Transit,9.673958488,0.0845,,0.856,0.0,0.07821337258048704,0.07821337258048704
Kepler-1071 b,Kepler-1071,Transit,6.18000073,,,0.89,,0.06572205455828214,0.06572205455828214
Kepler-311 d,Kepler-311,Transit,232.058029,0.7319,,0.97,0.0,0.12129736416764218,0.12129736416764218
Kepler-124 c,Kepler-124,Transit,13.82139306,0.10043,,0.706,,0.08131432332031852,0.08131432332031852
Kepler-1607 b,Kepler-1607,Transit,13.6471211,,,1.07,,0.07673257573884576,0.07673257573884576
Kepler-1836 b,Kepler-1836,Transit,5.25419736,0.0602,,1.053,0.0,0.07267118420829209,0.07267118420829209
Kepler-1726 b,Kepler-1726,Transit,18.39626843,,,0.92,,0.07998694359022057,0.07998694359022057
Kepler-741 b,Kepler-741,Transit,7.03899386,,,1.09,,0.06830430773413358,0.06830430773413358
Kepler-197 d,Kepler-197,Transit,15.67750191,,,1.093,,0.07876221426924974,0.07876221426924974
Kepler-148 d,Kepler-148,Transit,51.84688575,0.2623,,0.893,0.0,0.0987519393681545,0.0987519393681545
Kepler-155 c,Kepler-155,Transit,52.6615836,0.2267,,0.56,0.0,0.09648846711608923,0.09648846711608923
Kepler-361 c,Kepler-361,Transit,55.188023,0.3,,,,0.10003123892165408,0.10003123892165408
Kepler-1212 b,Kepler-1212,Transit,12.94130146,0.1082,,1.01,0.0,0.08219231670621159,0.08219231670621159
Kepler-362 b,Kepler-362,Transit,10.3273256392,,,1.03,,0.07282337714463336,0.07282337714463336
Kepler-48 b,Kepler-48,Transit,4.77800306,,,0.873,,0.06266570932294298,0.06266570932294298
HD 18143 c,HD 18143,Radial Velocity,28982.41764,17.53,3177.64841319,0.85,0.194,0.3559541876065003,0.194
Kepler-830 b,Kepler-830,Transit,11.29695137,0.0968,,0.947,0.0,0.0803696004228741,0.0803696004228741
Kepler-705 b,Kepler-705,Transit,56.05628,0.231,,0.52,0.0,0.09691160093276234,0.09691160093276234
Kepler-1868 b,Kepler-1868,Transit,211.032819,0.6266,,0.743,0.0,0.1181179320044157,0.1181179320044157
HD 28678 b,HD 28678,Radial Velocity,387.10001,1.32,810.4665,3.16,0.17,0.21130948169647787,0.17
Kepler-1929 b,Kepler-1929,Transit,59.3627946,0.2987,,1.006,0.0,0.1012341546545845,0.1012341546545845
Kepler-194 d,Kepler-194,Transit,52.8147284,0.2722,,0.962,0.0,0.09940124297182001,0.09940124297182001
Kepler-986 b,Kepler-986,Transit,56.4349933,,,0.97,,0.09767393097825512,0.09767393097825512
Kepler-1879 b,Kepler-1879,Transit,10.61345333,0.0953,,1.023,0.0,0.08001711877314632,0.08001711877314632
Kepler-333 c,Kepler-333,Transit,24.0882568,0.1373,,0.589,0.0,0.08691126808640902,0.08691126808640902
Kepler-204 c,Kepler-204,Transit,25.661658,0.1699,,0.992,0.0,0.09022853138083321,0.09022853138083321
Kepler-1001 c,Kepler-1001,Transit,9.18186435,0.084,,0.934,0.0,0.0780254324783587,0.0780254324783587
Kepler-979 b,Kepler-979,Transit,8.0880135,,,0.87,,0.06884383920688156,0.06884383920688156
Kepler-1490 b,Kepler-1490,Transit,92.436978,,,0.96,,0.1062555941875507,0.1062555941875507
